"K","lik"
25,-7.77236438558553
25,-7.18479925984245
25,-7.61541142231002
25,-7.73333694470007
25,-7.53742290491892
25,-7.20445495713536
25,-7.376367506891
25,-7.21536059335392
25,-7.54225521626427
25,-7.85207683476152
25,-8.13173032182519
25,-8.105698980451
25,-7.6978294953287
25,-7.59632161799963
25,-7.50237417097643
25,-7.03788997881233
25,-7.72448781936315
25,-6.9404778349424
25,-7.79256836091095
25,-6.73765774779707
25,-8.14694554856584
25,-8.23150318967498
25,-7.12003895907998
25,-7.58535479337843
25,-7.77918441263816
25,-6.74780781323906
25,-7.25891705265199
25,-7.90264849030723
25,-7.73173891715948
25,-6.98283423404934
25,-6.11033919912816
25,-7.65170385929297
25,-7.18287842964995
25,-7.60418912678843
25,-6.63557836330847
25,-7.17853411037708
25,-7.17663945977967
25,-6.9729770995887
25,-7.82640143031496
25,-7.91427815417008
25,-7.18450903837747
25,-6.73284544302814
25,-6.9595474395352
25,-7.93774309058142
25,-7.91407528813894
25,-7.27645987609376
25,-7.35371362706897
25,-7.6228648304521
25,-6.85553919657419
25,-7.89209117035621
25,-7.32836666053311
25,-7.3577212532752
25,-7.56182701577349
25,-7.76788481255948
25,-6.9616022740424
25,-7.27171859388556
25,-7.3744619956539
25,-7.03888744001496
25,-6.80809545589736
25,-7.38987950977604
25,-8.21532131111394
25,-7.12398241060879
25,-7.58094063964793
25,-7.20211255925329
25,-6.96411872936843
25,-8.00092563794469
25,-6.84303265336693
25,-7.63033900062806
25,-6.22566557781304
25,-7.16298072526366
25,-7.36805083327534
25,-7.75261561247226
25,-6.96365554453909
25,-7.50532442931646
25,-6.98646465878589
25,-8.24611571898978
25,-7.0189810863397
25,-7.82510228255456
25,-7.99886920109158
25,-7.10813631328109
25,-7.14119795157339
25,-7.45977917923967
25,-7.38343917339165
25,-7.1676443224899
25,-7.77569901672746
25,-7.70872259696923
25,-7.23852921635734
25,-6.92785012663535
25,-7.93818063277826
25,-7.70051527307571
25,-7.50536504172036
25,-7.79648234199297
25,-8.50526041697398
25,-7.00342365531643
25,-7.80127567205441
25,-7.38398547651403
25,-7.91543290281904
25,-7.7518090778302
25,-7.67604486980165
25,-6.99962164529455
25,-7.41070428952169
25,-7.11311257752058
25,-7.39311944903087
25,-7.61929382856938
25,-7.0547874085266
25,-7.54666650421667
25,-7.56102342381739
25,-8.02924156968712
25,-7.46944613118513
25,-7.59068177089124
25,-7.92062838222877
25,-7.91091175857535
25,-8.34118406087407
25,-7.18205722795018
25,-7.51571230135032
25,-7.71511953629202
25,-7.91746340697302
25,-6.77071723171941
25,-6.24463294316115
25,-7.5696873437838
25,-6.63479017562426
25,-7.86405283103753
