"K","lik"
30,-7.94738545906585
30,-7.20533183955157
30,-7.70177405188769
30,-7.28619234426728
30,-8.14762635915848
30,-7.09513547183604
30,-6.66190666558939
30,-7.53208024004339
30,-6.86777278221975
30,-7.30887131641101
30,-7.36007515695892
30,-7.59216170581677
30,-8.05493647158997
30,-7.35750991666233
30,-8.12938427474252
30,-7.6035076361371
30,-7.22349415081878
30,-7.96670554788946
30,-7.06331165943856
30,-7.04142773701948
30,-7.01526778838396
30,-7.64643609880973
30,-7.35609114360342
30,-6.49267879414886
30,-6.93546687769083
30,-7.60096292017404
30,-7.94459202210506
30,-7.06454733324367
30,-7.00992510682177
30,-8.65971097701738
30,-7.84343853184397
30,-8.2289804802217
30,-7.50762428623041
30,-7.18933908095245
30,-8.83291802920869
30,-7.22116175902925
30,-8.12264821961024
30,-6.86422329428259
30,-7.22641226750695
30,-7.60619919876151
30,-7.76416032087512
30,-7.91037169367466
30,-6.61130942164318
30,-7.50864341813935
30,-7.36083143763041
30,-7.716366396807
30,-7.31677832271748
30,-7.47259218460106
30,-7.18003303868965
30,-7.6868656565793
30,-6.8380101557537
30,-7.53320617246609
30,-7.18903480782713
30,-7.67154185048855
30,-7.8600613097786
30,-7.8458663548985
30,-7.6568703603684
30,-8.05072472400731
30,-7.73780895409783
30,-6.64561079823098
30,-7.53215768749019
30,-7.98127208293607
30,-7.21692110796041
30,-7.30304318295203
30,-7.11148282215881
30,-7.2708279772708
30,-7.26875163547157
30,-6.13950615686953
30,-6.95381253764879
30,-7.78592778661705
30,-7.45775721425002
30,-7.54247562770323
30,-6.8599443878572
30,-6.28272383893793
30,-7.92847365883566
30,-6.41872776381173
30,-8.04244776221449
30,-6.97751734422454
30,-7.21364544359251
30,-7.87297264476755
30,-7.06392218342866
30,-7.01294154283805
30,-6.6436186049339
30,-7.66727586997672
30,-6.90093317913034
30,-7.43727137171694
30,-7.14617983366363
30,-8.55366458699594
30,-7.3661605576911
30,-7.85029144493344
30,-7.12772013036626
30,-7.67842974949238
30,-7.97441482744305
30,-7.84862605404626
30,-7.22950652420977
30,-6.12274385386179
30,-7.32951090536434
30,-7.52710265457786
30,-6.85961130338771
30,-8.1049267207747
30,-8.75083180761366
30,-7.67075325515258
30,-7.59849828593738
30,-7.3692872682387
30,-7.1391629427376
30,-7.73115597342267
30,-7.06824271579346
30,-8.01186897066821
30,-6.79380482866872
30,-8.09962027169965
30,-8.14554367839835
30,-7.07130095741349
30,-7.77090751866173
30,-7.40508089083556
30,-6.64333626309085
30,-7.10781436570472
30,-7.35278197749042
30,-6.63526533602136
30,-7.12022248481328
30,-6.40520175398541
30,-7.71741578592591
30,-7.43058093564168
30,-7.43350085275303
30,-6.69009528895286
30,-7.36872975477055
30,-7.28724480475266
30,-6.86827469958466
30,-7.77395995640219
30,-7.23539121122886
30,-6.84605759962559
30,-6.81755254995862
30,-7.1278607124721
30,-7.64806522146832
30,-7.9700534055768
30,-7.1450415016768
30,-7.44175916140986
30,-6.97731657323351
30,-7.1519551799562
30,-7.33624576580386
30,-7.4138386966779
30,-7.41431105373482
30,-7.49756913576991
30,-8.09524904992438
30,-6.955322645699
30,-7.66380495630084
30,-7.3741361572033
30,-7.24916624716232
30,-6.86336923415083
30,-7.34991552507741
30,-8.20803511054321
30,-7.09136194798552
30,-7.33370757103612
30,-6.96754731559483
30,-6.79109210704569
30,-7.84602708690754
30,-6.99561135837164
30,-7.80952430032777
30,-6.36936144530409
30,-6.99903165088344
30,-7.40998298139407
30,-7.68629944082772
30,-7.01539882067508
30,-8.09537048584216
30,-7.10481302495923
30,-8.29612599327305
30,-6.87231077235846
30,-7.74313546357258
30,-8.0591224070621
30,-7.01458573789221
30,-7.41903475622977
30,-7.35732164772178
30,-7.41137612430213
30,-7.4718619844843
30,-7.9880222272726
30,-7.6923876213266
30,-7.34904861471425
30,-6.67214991103371
30,-7.99288908308143
30,-7.75107573169083
30,-7.63257199357899
30,-7.71043111888784
30,-7.61996926555598
30,-7.0243232127156
30,-8.72331264328963
30,-7.89882389522715
30,-7.85939942122662
30,-7.91058080102521
30,-7.53426584650961
30,-6.90744787213364
30,-7.1107071213388
30,-7.02891266991519
30,-7.00431937290401
30,-7.34459059919912
30,-7.08317307746596
30,-7.57345165834025
30,-8.00034894596219
30,-7.93142888804292
30,-7.44659581647211
30,-7.55996869902291
30,-8.18654221162268
30,-7.29429250155744
30,-8.31113283431831
30,-7.5259300182839
30,-7.60972269262868
30,-7.79458501857772
30,-7.97316017574177
30,-6.74313156530425
30,-6.10271982069758
30,-7.66340921578101
30,-7.48831914305793
30,-7.94800428182467
30,-6.56368105543759
30,-7.43423787788056
30,-6.46012402749523
30,-7.0273865016848
30,-6.99039104926038
30,-7.72658917759147
30,-7.67690343170625
30,-7.76381243457323
30,-7.75032488200299
