"K","holdout","lik"
60,1,-6.60218652149001
60,1,-7.45564076523911
60,1,-6.59218501565312
60,1,-7.09280656013006
60,1,-8.17763515849097
60,1,-7.46131479327933
60,1,-7.26127309222001
60,1,-8.22651397796511
60,1,-7.05383728959554
60,1,-7.02577313955828
60,1,-7.06772757307672
60,1,-7.80552714481114
60,1,-7.33747746325933
60,1,-7.76423968318036
60,1,-7.57495745286823
60,1,-7.32710812367032
60,1,-6.84727644635997
60,1,-6.65277733281314
60,1,-7.27595187077128
60,1,-7.5961897575382
60,1,-6.63746446630915
60,1,-6.37439864975221
60,1,-7.29875852348875
60,1,-8.32880049645614
60,1,-7.71515734666247
60,1,-7.17589819978527
60,1,-7.53030160490296
60,1,-7.56585236497009
60,1,-7.68044688691392
60,1,-7.25052010332279
60,1,-7.87720611750702
60,1,-7.40902101415361
60,1,-7.46443859933793
60,1,-7.28728518883156
60,1,-6.67641266472502
60,1,-7.80012776434837
60,1,-7.14198085237595
60,1,-8.21150778287999
60,1,-7.42059176012703
60,1,-7.96497758263105
60,1,-7.13352051041555
60,1,-7.08109897797116
60,1,-7.2037825930466
60,1,-8.41271087638877
60,1,-7.47616376301599
60,1,-7.45531186985363
60,1,-7.59827846826236
60,1,-7.50451376271517
60,1,-7.51887835286807
60,1,-8.11981922077052
60,1,-7.4413617691006
60,1,-7.98693693010681
60,1,-7.72129999016717
60,1,-7.45262164789553
60,1,-6.93206226909726
60,1,-8.0465892425246
60,1,-7.90144482353017
60,1,-6.89136495312923
60,1,-7.49267900853185
60,1,-7.63337398606641
60,1,-6.96268396657113
60,1,-7.46531416492199
60,1,-7.41270950904131
60,1,-7.59963165704612
60,1,-6.79236457735762
60,1,-7.68999415103347
60,1,-7.34893075140531
60,1,-7.8604359876495
60,1,-7.86040245667274
60,1,-7.95825170511052
60,1,-7.27443290445292
60,1,-8.29138668848881
60,1,-7.12153733295334
60,1,-7.86212826562947
60,1,-7.49325941208201
60,1,-7.53233035749278
60,1,-7.18405479869136
60,1,-7.36787681617002
60,1,-7.2299719765149
60,1,-6.80484166860936
60,1,-7.18621951778264
